VEHICLE TYPE;FUEL TYPE;MODEL;VARIANT DETAILS;LISTED PRICE ($AUD);FAST CHARGE TIME (minutes);ANCAP RATING;RANGE (km);ENERGY CONSUMPTION;;SUBURB
Medium Car;BEV;Hyundai Ioniq 6;2024 Hyundai IONIQ 6 Auto 2WD MY24;66500;18 mins (10%-80% charge, 800V charger);5 star, 2022;614;14.3;;Newtown
Small SUV;BEV;Hyundai Kona BEV;2024 Hyundai Kona Electric Elite Auto 2WD MY25;54000;47 mins (10%-80% charge, 100kW charger);4 star, 2023;;;;Newtown
Small SUV;BEV;Jeep Avenger;2024 Jeep Avenger Summit Auto FWD MY24;60990;24 mins (20%-80% charge, 100kW charger);3 star, 2024;390;15.8;;Newtown
Medium SUV;BEV;Kia EV5;2024 Kia EV5 Air Standard Range Auto MY25;;36 mins (10%-80% charge, 350kW charger);5 star, 2024;400;18.2;;Newtown
Large SUV;BEV;Kia EV6;2024 Kia EV6 Air Auto MY24;72590;18 mins (10%-80% charge, 800V charger);5 star, 2022;528;16.5;;Paddington
Large SUV;BEV;Kia EV9;2024 Kia EV9 Air Auto MY24;97000;20 mins (10%-80% charge, 350kW charger);5 star, 2023;443;19.5;;Paddington
Small SUV;BEV;Kia Niro BEV;2024 Kia Niro EV S Auto 2WD MY25;66590;45 mins (10%-80% charge, 100kW charger);5 star, 2022;460;16.2;;Paddington
Van;BEV;LDV eDeliver7;2024 LDV eDeliver 7 SWB Auto;67358*;43 mins (20%-80% charge);Gold (77%);;;;Paddington
Ute (2WD);BEV;LDV eT60;2024 LDV eT60 Auto MY23 Dual Cab;92990;45 mins (20%-80% charge, 80kW charger);Unrated;330;26.9;;Paddington
People Mover;BEV;LDV Mifa9;2024 LDV MIFA 9 Mode Auto MY23;104000;36 mins (30%-80% charge, 120kW charger);5 star, 2022;;;;Paddington
Medium SUV;BEV;Leapmotor C10;2024 Leapmotor C10 Style Auto;45888;30 mins(30%-80% charge);5 star, 2024;477;16.7;;Paddington
Small SUV;BEV;Lexus UX BEV;2024 Lexus UX UX300e Luxury Auto FWD;80720;80 mins (10%-80% charge);5 star, 2019;560;12.8;;Paddington
Sports Car;BEV;Lotus Eletre;2024 Lotus Eletre Auto AWD MY24;189990;;Unrated;;;;Paddington
Large Car;BEV;Lotus Emeya;2024 Lotus Emeya Auto AWD;189990;;Unrated;;;;Paddington
Small SUV;BEV;Mercedes-Benz EQA;2024 Mercedes-Benz EQA EQA250+ Auto;84900;35 mins (10%-80% charge, 100kW charger);5 star, 2019;578;14.1;;Potts Point
Medium SUV;BEV;Mercedes-Benz EQB;2024 Mercedes-Benz EQB EQB250+ Auto;89100;35 mins (10%-80% charge, 100kW charger);5 star, 2019;564;14.7;;Potts Point
Large Car;BEV;Mercedes-Benz EQE;2024 Mercedes-Benz EQE EQE300 Auto Sedan;133600;;5 star, 2022;626;16.3;;Haymarket
Large SUV;BEV;Mercedes-Benz EQE SUV;2024 Mercedes-Benz EQE EQE300 Auto SUV;134900;;5 star, 2023;606;17.2;;Haymarket
Large SUV;BEV;Mercedes-Benz EQS SUV;2024 Mercedes-Benz EQS EQS450 Auto 4MATIC SUV;195900;;Unrated;698;19.1;;Ultimo
People Mover;BEV;Mercedes-Benz EQV;2024 Mercedes-Benz EQV EQV300 Auto;162339;45 mins (10%-80% charge, 110kW charger);Unrated;418;26.3;;Ultimo
People Mover;BEV;Mercedes-Benz eVito Tourer;2024 Mercedes-Benz eVito Tourer 129 Medium Wheelbase Auto;137515;;Unrated;421;26.2;;Ultimo
Van;BEV;Mercedes-Benz eVito Van;2024 Mercedes-Benz eVito 112 Medium Wheelbase Auto;98951;;Platinum (90%);;;;Ultimo
